bit_position,dimension,threshold,error_count,total,BER
83,27,2,175,881,0.19863791146424517
84,28,0,163,881,0.18501702610669693
85,28,1,217,881,0.246311010215664
86,28,2,164,881,0.18615209988649262
87,29,0,170,881,0.19296254256526674
88,29,1,215,881,0.24404086265607264
89,29,2,181,881,0.2054483541430193
90,30,0,186,881,0.21112372304199772
91,30,1,221,881,0.2508513053348468
92,30,2,156,881,0.17707150964812712
93,31,0,156,881,0.17707150964812712
94,31,1,225,881,0.25539160045402953
95,31,2,175,881,0.19863791146424517
96,32,0,163,881,0.18501702610669693
97,32,1,229,881,0.2599318955732123
98,32,2,208,881,0.23609534619750283
99,33,0,170,881,0.19296254256526674
100,33,1,209,881,0.23723041997729852
101,33,2,183,881,0.20771850170261066
102,34,0,190,881,0.21566401816118047
103,34,1,228,881,0.25879682179341656
104,34,2,182,881,0.20658342792281498
105,35,0,221,881,0.2508513053348468
106,35,1,226,881,0.2565266742338252
107,35,2,169,881,0.19182746878547105
108,36,0,193,881,0.21906923950056753
109,36,1,243,881,0.2758229284903519
110,36,2,169,881,0.19182746878547105
111,37,0,178,881,0.20204313280363223
112,37,1,213,881,0.24177071509648126
113,37,2,177,881,0.20090805902383654
114,38,0,174,881,0.19750283768444948
115,38,1,220,881,0.24971623155505107
116,38,2,180,881,0.2043132803632236
117,39,0,155,881,0.17593643586833144
118,39,1,237,881,0.2690124858115778
119,39,2,167,881,0.18955732122587968
120,40,0,184,881,0.20885357548240635
121,40,1,214,881,0.24290578887627695
122,40,2,168,881,0.19069239500567536
123,41,0,177,881,0.20090805902383654
124,41,1,233,881,0.264472190692395
125,41,2,189,881,0.21452894438138478
126,42,0,188,881,0.2133938706015891
127,42,1,259,881,0.2939841089670829
128,42,2,185,881,0.20998864926220204
129,43,0,173,881,0.1963677639046538
130,43,1,246,881,0.2792281498297389
131,43,2,174,881,0.19750283768444948
132,44,0,178,881,0.20204313280363223
133,44,1,218,881,0.2474460839954597
134,44,2,172,881,0.1952326901248581
135,45,0,174,881,0.19750283768444948
136,45,1,228,881,0.25879682179341656
137,45,2,192,881,0.21793416572077184
138,46,0,182,881,0.20658342792281498
139,46,1,217,881,0.246311010215664
140,46,2,174,881,0.19750283768444948
141,47,0,169,881,0.19182746878547105
142,47,1,233,881,0.264472190692395
143,47,2,162,881,0.18388195232690124
144,48,0,168,881,0.19069239500567536
145,48,1,217,881,0.246311010215664
146,48,2,173,881,0.1963677639046538
147,49,0,156,881,0.17707150964812712
148,49,1,225,881,0.25539160045402953
149,49,2,183,881,0.20771850170261066
150,50,0,167,881,0.18955732122587968
151,50,1,239,881,0.27128263337116915
152,50,2,185,881,0.20998864926220204
153,51,0,192,881,0.21793416572077184
154,51,1,249,881,0.282633371169126
155,51,2,194,881,0.22020431328036322
156,52,0,185,881,0.20998864926220204
157,52,1,258,881,0.29284903518728717
158,52,2,150,881,0.170261066969353
159,53,0,196,881,0.2224744608399546
160,53,1,236,881,0.26787741203178206
161,53,2,185,881,0.20998864926220204
162,54,0,181,881,0.2054483541430193
163,54,1,227,881,0.2576617480136209
164,54,2,179,881,0.20317820658342792
165,55,0,127,881,0.1441543700340522
166,55,1,215,881,0.24404086265607264
167,55,2,182,881,0.20658342792281498
168,56,0,166,881,0.188422247446084
169,56,1,231,881,0.26220204313280365
170,56,2,188,881,0.2133938706015891
171,57,0,186,881,0.21112372304199772
172,57,1,239,881,0.27128263337116915
173,57,2,181,881,0.2054483541430193
174,58,0,164,881,0.18615209988649262
175,58,1,213,881,0.24177071509648126
176,58,2,175,881,0.19863791146424517
177,59,0,178,881,0.20204313280363223
178,59,1,200,881,0.22701475595913734
179,59,2,146,881,0.16572077185017026
180,60,0,179,881,0.20317820658342792
181,60,1,232,881,0.2633371169125993
182,60,2,183,881,0.20771850170261066
183,61,0,172,881,0.1952326901248581
184,61,1,228,881,0.25879682179341656
185,61,2,181,881,0.2054483541430193
186,62,0,187,881,0.2122587968217934
187,62,1,233,881,0.264472190692395
188,62,2,164,881,0.18615209988649262
189,63,0,159,881,0.18047673098751418
190,63,1,249,881,0.282633371169126
191,63,2,190,881,0.21566401816118047
192,64,0,173,881,0.1963677639046538
193,64,1,245,881,0.27809307604994327
194,64,2,201,881,0.22814982973893302
195,65,0,179,881,0.20317820658342792
196,65,1,225,881,0.25539160045402953
197,65,2,173,881,0.1963677639046538
198,66,0,168,881,0.19069239500567536
199,66,1,222,881,0.25198637911464244
200,66,2,187,881,0.2122587968217934
201,67,0,185,881,0.20998864926220204
202,67,1,236,881,0.26787741203178206
203,67,2,188,881,0.2133938706015891
204,68,0,188,881,0.2133938706015891
205,68,1,240,881,0.2724177071509648
206,68,2,156,881,0.17707150964812712
207,69,0,178,881,0.20204313280363223
208,69,1,240,881,0.2724177071509648
209,69,2,168,881,0.19069239500567536
210,70,0,164,881,0.18615209988649262
211,70,1,236,881,0.26787741203178206
212,70,2,162,881,0.18388195232690124
213,71,0,184,881,0.20885357548240635
214,71,1,256,881,0.2905788876276958
215,71,2,170,881,0.19296254256526674
216,72,0,157,881,0.1782065834279228
217,72,1,230,881,0.26106696935300794
218,72,2,199,881,0.22587968217934165
219,73,0,166,881,0.188422247446084
220,73,1,224,881,0.2542565266742338
221,73,2,164,881,0.18615209988649262
222,74,0,170,881,0.19296254256526674
223,74,1,269,881,0.30533484676503975
224,74,2,187,881,0.2122587968217934
225,75,0,179,881,0.20317820658342792
226,75,1,232,881,0.2633371169125993
227,75,2,168,881,0.19069239500567536
228,76,0,176,881,0.19977298524404086
229,76,1,220,881,0.24971623155505107
230,76,2,161,881,0.18274687854710556
231,77,0,180,881,0.2043132803632236
232,77,1,239,881,0.27128263337116915
233,77,2,176,881,0.19977298524404086
234,78,0,179,881,0.20317820658342792
235,78,1,263,881,0.2985244040862656
236,78,2,171,881,0.19409761634506242
237,79,0,174,881,0.19750283768444948
238,79,1,219,881,0.24858115777525538
239,79,2,184,881,0.20885357548240635
240,80,0,184,881,0.20885357548240635
241,80,1,233,881,0.264472190692395
242,80,2,178,881,0.20204313280363223
243,81,0,200,881,0.22701475595913734
244,81,1,241,881,0.2735527809307605
245,81,2,174,881,0.19750283768444948
246,82,0,181,881,0.2054483541430193
247,82,1,237,881,0.2690124858115778
248,82,2,165,881,0.1872871736662883
249,83,0,129,881,0.14642451759364358
250,83,1,253,881,0.28717366628830876
251,83,2,224,881,0.2542565266742338
252,84,0,172,881,0.1952326901248581
253,84,1,217,881,0.246311010215664
254,84,2,183,881,0.20771850170261066
255,85,0,171,881,0.19409761634506242
256,85,1,218,881,0.2474460839954597
257,85,2,194,881,0.22020431328036322
258,86,0,185,881,0.20998864926220204
259,86,1,217,881,0.246311010215664
260,86,2,158,881,0.1793416572077185
261,87,0,184,881,0.20885357548240635
262,87,1,227,881,0.2576617480136209
263,87,2,182,881,0.20658342792281498
