timestamp,label,impostor_per_genuine,mode,k,gmr,far,n_genuine,n_impostor,errors
2026-07-26 16:45:28,single_K3,1,single,3,12.4334,0.0000,2252,2252,0
2026-07-26 16:52:39,vote_K3,1,vote,3,35.6572,0.0000,2252,2252,0
2026-07-26 18:36:30,vote_K3,20,vote,3,34.8579,0.0000,2252,45040,0
2026-07-26 19:08:22,single_K3,20,single,3,12.6110,0.0000,2252,45040,0
2026-07-26 19:46:42,single_K5,20,single,5,12.1767,0.0000,1856,37120,0
2026-07-26 20:23:34,vote_K5,20,vote,5,48.0603,0.0000,1856,37120,0
2026-07-26 21:23:15,single_K7,20,single,7,14.3646,0.0000,1448,28960,0
2026-07-26 21:49:29,vote_K7,20,vote,7,55.5249,0.0000,1448,28960,0
2026-07-26 22:12:12,vote_K9,20,vote,9,57.0140,0.0000,998,19960,0
