dim,f_stat,p_value,p_adj_fdr,significant_after_fdr,eta_sq
155,5.300449463948277,0.00010313255681034809,0.011922531231798561,True,0.06874732692532315
107,5.256225056949268,0.00011309249337727573,0.011922531231798561,True,0.06821286633449634
124,5.2507062897170576,0.00011440082998520967,0.011922531231798561,True,0.06814611577928789
171,5.2021319551713265,0.0001265865618679041,0.011922531231798561,True,0.06755829480776171
339,5.171055301773217,0.00013505231954880732,0.011922531231798561,True,0.06718181110652942
93,5.154750510409979,0.0001397171628726394,0.011922531231798561,True,0.06698418385187996
197,4.996762518233018,0.00019410617697183043,0.01419748037279674,True,0.06506475156475919
234,4.854530783561475,0.00026085517450344077,0.015797427849294818,True,0.0633299852916434
69,4.824408239624854,0.00027768916141338544,0.015797427849294818,True,0.06296177676750235
60,4.570622492247241,0.0004698780552042624,0.021652215637846882,True,0.05984791395543341
16,4.533860239455271,0.0005070023963375504,0.021652215637846882,True,0.05939513478748272
15,4.531315438660287,0.0005096774873409626,0.021652215637846882,True,0.059363791913955986
391,4.442532824744541,0.0006123155179560806,0.021652215637846882,True,0.058268431958359033
232,4.42982547185846,0.0006285949431324488,0.021652215637846882,True,0.05811143594838454
37,4.42541712142471,0.0006343422550150454,0.021652215637846882,True,0.058056971660090835
283,4.32353087195702,0.0007827107822487275,0.02504674503195928,True,0.056796240687575154
467,4.1511359195553625,0.0011160303542847327,0.03361220831728136,True,0.054655348790896854
259,4.025767477810146,0.001443438399689335,0.04105780336894108,True,0.05309233075726795
79,3.969096782058186,0.001621073910956389,0.04218866131286876,True,0.052384112001993985
231,3.9610487787013375,0.0016479945825339359,0.04218866131286876,True,0.05228344735480111
23,3.878749759696217,0.0019499597095072243,0.044552653047480566,True,0.05125283009007359
413,3.8343456701397867,0.0021349629856489095,0.044552653047480566,True,0.05069582260861673
277,3.816285547262648,0.0022150749052629037,0.044552653047480566,True,0.050469096332368
502,3.8138071537228084,0.0022262978370067537,0.044552653047480566,True,0.050437959974565544
468,3.7812941698831075,0.0023788311839347018,0.044552653047480566,True,0.050029506142106654
31,3.78017472867085,0.0023842627671175334,0.044552653047480566,True,0.050015436344312825
141,3.772375217664266,0.0024224476767890453,0.044552653047480566,True,0.04991739421370892
110,3.7695408522991873,0.0024364732135340934,0.044552653047480566,True,0.04988175361039024
486,3.7303402933188723,0.0026388731041717736,0.044626540401014186,True,0.04938862406886987
209,3.7238198772984945,0.0026741120869096468,0.044626540401014186,True,0.04930655157810875
375,3.718719917676544,0.0027019975633426558,0.044626540401014186,True,0.04924235124079233
291,3.697008254060746,0.0028239574858977042,0.04518331977436327,True,0.04896893975788355
199,3.6557714990818004,0.0030707298972226056,0.047642839617514365,True,0.048449190867843175
298,3.5350894932235892,0.003921642024680956,0.05659081813425724,False,0.04692488422184873
493,3.5166446298789444,0.004070697258199082,0.05659081813425724,False,0.046691472671960055
131,3.506162666871847,0.004157873634835054,0.05659081813425724,False,0.0465587765549774
476,3.4911427751519786,0.004286001859614557,0.05659081813425724,False,0.04636856794428739
350,3.487468485232477,0.004317932394151105,0.05659081813425724,False,0.04632203195683388
123,3.4857363295329926,0.004333066336702277,0.05659081813425724,False,0.046300095632872865
251,3.4757704855432197,0.004421157666738847,0.05659081813425724,False,0.046173823593899925
78,3.4353943891786667,0.0047964370868509775,0.05989697045043172,False,0.045661945196409336
333,3.4196417521065325,0.004951196469143469,0.060357442671463236,False,0.04546208587592161
471,3.359374369672055,0.005589904102583443,0.06655885815169123,False,0.04469668294843845
280,3.3349417164289403,0.005871302931345799,0.06832061592838748,False,0.04438603255769978
108,3.313005449528176,0.00613576785880838,0.06981140319355313,False,0.04410694538342322
306,3.2960254799115414,0.006348473909451927,0.07024199544504177,False,0.04389081133467197
94,3.2661777744183325,0.006740042405647865,0.07024199544504177,False,0.04351064477282697
267,3.263698556943018,0.006773612458254182,0.07024199544504177,False,0.04347905156379508
349,3.249814148990801,0.006964667547386692,0.07024199544504177,False,0.04330209450725419
24,3.245559864962639,0.007024258543630539,0.07024199544504177,False,0.04324785522366849
494,3.2311068996345482,0.00723046256974015,0.07024199544504177,False,0.043063559083787895
369,3.216629758229263,0.007442955678179417,0.07024199544504177,False,0.04287888924718132
392,3.214900442053344,0.007468743856037216,0.07024199544504177,False,0.04285681856818568
56,3.209658500820059,0.007547449582901815,0.07024199544504177,False,0.04278993314069689
76,3.198368409053926,0.007719735750974979,0.07024199544504177,False,0.0426458372494026
244,3.197002688926616,0.007740835979270983,0.07024199544504177,False,0.04262840589889355
256,3.1919168506516846,0.00781990964915504,0.07024199544504177,False,0.0425634905793972
63,3.1718044638130958,0.008140436285199094,0.07186040306934373,False,0.04230662833756993
448,3.1603171218410386,0.008329242356710006,0.0722808828243309,False,0.04215986855184256
385,3.137014717347582,0.008725500544899093,0.0744576046498056,False,0.04186201934830906
200,3.116162864064841,0.009095684259198664,0.07521730196560811,False,0.041595336263367845
34,3.1087175168681127,0.009231548376608101,0.07521730196560811,False,0.04150007014424773
377,3.1074294413123957,0.009255253952799435,0.07521730196560811,False,0.04148359510035018
150,3.0718604019831557,0.009933892822022092,0.07947114257617674,False,0.04102823568554303
117,3.001258930832996,0.011427999714398533,0.08939313298128133,False,0.04012310555224347
355,2.991305730524522,0.011655542716168409,0.08939313298128133,False,0.03999535889622788
483,2.9894726112709162,0.011697929511222362,0.08939313298128133,False,0.03997183789335567
105,2.964221201303994,0.012297338408247673,0.09259172448562954,False,0.039647588496784084
282,2.9279581957315055,0.013210814370181219,0.0967507327454021,False,0.039181559277704246
418,2.9273134627105533,0.013227639242535442,0.0967507327454021,False,0.03917326919486993
322,2.91108845632672,0.013657983831893884,0.09803286775557385,False,0.038964612227432374
270,2.895175003261003,0.014093295159207944,0.09803286775557385,False,0.03875986814048482
59,2.886021024816202,0.014349790058916649,0.09803286775557385,False,0.03864204444353431
260,2.884762655499552,0.014385402931733423,0.09803286775557385,False,0.038625849026858367
152,2.8833533840055883,0.01442538856729571,0.09803286775557385,False,0.03860771229872065
82,2.8789245701586705,0.014551753807467992,0.09803286775557385,False,0.03855069470092755
346,2.840850505312546,0.01568345777610485,0.1019067517344697,False,0.03806025829116339
151,2.834158759242264,0.01589101379852035,0.1019067517344697,False,0.03797400871063233
309,2.8336277692653797,0.015907597226762184,0.1019067517344697,False,0.037967179644780316
446,2.833137304210178,0.01592292995851089,0.1019067517344697,False,0.03796084366324673
143,2.8208539063696216,0.016311647226741503,0.10310572074187221,False,0.03780248973468209
434,2.759096873747505,0.018409928276060073,0.11358212727520124,False,0.0370055071781529
217,2.759019139133351,0.018412727663753327,0.11358212727520124,False,0.03700450112942416
168,2.7468658649098994,0.018855508658413577,0.11492881467985419,False,0.03684750014683538
301,2.730404165008955,0.019471754270420357,0.11728868454653203,False,0.03663476675520433
261,2.722862389851475,0.019760560224519417,0.11764426552272025,False,0.036537270867116604
10,2.6956298746646934,0.020838358854630236,0.12263493946632967,False,0.036185064207060594
64,2.6870769364591416,0.021188457888707234,0.1230719847042364,False,0.0360744063141545
498,2.682134114385934,0.021393372341166093,0.1230719847042364,False,0.036010432439114934
159,2.6754182326889673,0.021674868236187667,0.12330591707697873,False,0.035923507039638224
181,2.649491862230765,0.022795571265530674,0.12756923748836801,False,0.035587778608647716
138,2.646631403110238,0.02292259736119113,0.12756923748836801,False,0.03555072376455194
313,2.6340147383132475,0.023491084748909114,0.12853807056325728,False,0.035387245983473446
409,2.627895140790727,0.02377170828431599,0.12853807056325728,False,0.03530793615330356
289,2.6262037907330154,0.023849837311541878,0.12853807056325728,False,0.035286011860685675
71,2.61375876207769,0.024432390577364998,0.13030608307928,False,0.03512466877055257
383,2.590523498538015,0.025557020544703286,0.13371589423502336,False,0.03482329955943455
87,2.589775193866901,0.025594057880922443,0.13371589423502336,False,0.03481359009274315
9,2.5823906854865606,0.025962342298882963,0.1342698914851321,False,0.034717760124892
307,2.5586088731618672,0.027183466605333603,0.13917934901930804,False,0.03440904285514688
503,2.54206795709854,0.028065242063155884,0.14227132610233478,False,0.03419420707588226
367,2.526803372100945,0.028903377398868772,0.14508361988451776,False,0.033995859823911845
236,2.5153073740320497,0.029550446131624466,0.14574525649568068,False,0.03384642551824707
481,2.5052228024960983,0.03012953024813385,0.14574525649568068,False,0.03371529461428473
169,2.50457646707407,0.03016701456880522,0.14574525649568068,False,0.03370689329001232
442,2.5044591597362613,0.030173822633871392,0.14574525649568068,False,0.03370537040509275
70,2.495442273218868,0.030701573849141715,0.1469084655211267,False,0.03358809192165291
132,2.468136792510337,0.03235442467092544,0.15338393918068358,False,0.03323278078367251
414,2.4343444104309304,0.034518485922213384,0.16214187882727754,False,0.03279269736737221
27,2.4275543261803056,0.03496977139352461,0.16276839048622366,False,0.03270422262021074
249,2.4166446640816472,0.035706724208468626,0.16470128643906248,False,0.032562031177925325
100,2.4046561202104306,0.0365337195085451,0.16701128918192046,False,0.03240573632830715
80,2.3843181860191507,0.03797880420550929,0.17208095356832526,False,0.032140459567002795
226,2.369408873141145,0.039072755689187715,0.17289092076367948,False,0.03194590340606127
166,2.3662130474809255,0.03931113725979487,0.17289092076367948,False,0.03190419076566638
154,2.364483635147084,0.03944071618009771,0.17289092076367948,False,0.03188161561591012
465,2.3635840976976246,0.039508276815137695,0.17289092076367948,False,0.03186987308156603
415,2.3383132761116032,0.04145211600672779,0.17855793430094807,False,0.03153988101757596
177,2.337695388758994,0.041500769886353164,0.17855793430094807,False,0.03153180354534062
294,2.3230264956069835,0.04267197646025185,0.1809783138173574,False,0.03134015309079378
210,2.3218130035175357,0.04277026557011767,0.1809783138173574,False,0.031324280170240415
286,2.307537188065626,0.043942902275853866,0.1832588536795833,False,0.031137676822770865
0,2.305981313976093,0.04407254163191907,0.1832588536795833,False,0.031117343676287133
401,2.298774394967454,0.04467781217794536,0.1832588536795833,False,0.031023111285065894
20,2.298028209677502,0.044740931074117016,0.1832588536795833,False,0.031013353785184074
404,2.288170688557496,0.045582785425374354,0.1839677676206842,False,0.030884433099634997
247,2.287592499124341,0.045632629859036905,0.1839677676206842,False,0.030876863899559587
510,2.2823297167337864,0.046088716264997505,0.18435486505999002,False,0.03080802179725543
491,2.270085590623365,0.047166682953227505,0.18720419900815877,False,0.0306478064250992
433,2.25939100211961,0.04812782594799126,0.1895495914259348,False,0.03050781732630966
461,2.2468938212211875,0.04927457968325042,0.19258461677728408,False,0.03034419927627143
443,2.240614820734016,0.04986050668536755,0.19339832896142567,False,0.03026197271227544
239,2.231758980247371,0.05069815681337279,0.1951688442740366,False,0.030145958332637935
241,2.189750488724069,0.0548569108855399,0.2096025251746002,False,0.029595323612575945
428,2.183142537622489,0.055539823292849795,0.21063992241436366,False,0.02950865324902872
188,2.164582595745095,0.05750126328457152,0.21460840674461226,False,0.029265123499174494
242,2.1635527116682742,0.05761200055109692,0.21460840674461226,False,0.02925161587082254
29,2.161404152306475,0.05784367213038377,0.21460840674461226,False,0.02922340426180142
145,2.142571003151491,0.05991243281258275,0.22068464460462137,False,0.028976146284172305
356,2.126443790566539,0.0617393294043134,0.2257895475357747,False,0.028764319318401017
406,2.119522512299217,0.06253939351092995,0.2261386235018203,False,0.028673377144864613
119,2.11669918814179,0.06286855594030992,0.2261386235018203,False,0.028636285135084757
133,2.1142126112936515,0.06315981086085996,0.2261386235018203,False,0.028603597317702994
419,2.098307424893054,0.06505310774956408,0.22760414331612946,False,0.028394528526127373
157,2.097372386629644,0.06516605950485913,0.22760414331612946,False,0.028382224307346066
290,2.0950638728252056,0.06544571745795563,0.22760414331612946,False,0.028351878760586036
1,2.0948433084778073,0.06547249614319245,0.22760414331612946,False,0.028348976563692476
276,2.0922196824151995,0.06579182267731867,0.22760414331612946,False,0.028314477165071718
297,2.0867519389970224,0.06646203110960902,0.22797145588074344,False,0.028242578662453863
183,2.084107190297215,0.06678851246506155,0.22797145588074344,False,0.02820778815891295
425,2.076143892640654,0.06778068021045366,0.22824252472995019,False,0.028103032491426583
435,2.063858493422414,0.06933858057794741,0.22824252472995019,False,0.027941378609948633
292,2.0634409606329305,0.06939211438253025,0.22824252472995019,False,0.027935889256464445
353,2.063428288551658,0.06939373973568859,0.22824252472995019,False,0.02793572394905898
334,2.062817037841164,0.06947218279461068,0.22824252472995019,False,0.027927681232976995
167,2.062268534746159,0.0695426442536567,0.22824252472995019,False,0.027920463882904735
368,2.050768445723766,0.07103551296593484,0.23165721425833527,False,0.02776908787710527
328,2.04045730854432,0.07239957472015603,0.23384918356525738,False,0.027633330672978292
450,2.037898131762833,0.07274191549083547,0.23384918356525738,False,0.027599624101870005
216,2.033812853319755,0.07329155085912907,0.23384918356525738,False,0.027545818900903254
288,2.032015445960734,0.07353460655079383,0.23384918356525738,False,0.027522145047582474
271,2.0237280056569236,0.0746650876973715,0.23597854877193955,False,0.02741297373798837
303,2.008051815147736,0.07684812094288544,0.24138796271630275,False,0.027206403161105796
363,2.0017033846481462,0.0777490711237204,0.2427288074106393,False,0.027122727255618102
118,1.982242682678562,0.08057280359182932,0.25001985114555525,False,0.026866127321232485
347,1.9710202492242666,0.08224442621851959,0.2511226020412969,False,0.026718082401770645
163,1.9704765539702123,0.08232622790879913,0.2511226020412969,False,0.026710908445848138
397,1.9699892895169109,0.08239960379480055,0.2511226020412969,False,0.026704483921852797
358,1.9523984978372813,0.0850897643311434,0.25761034892629336,False,0.02647233786491282
400,1.9495392467812591,0.08553468616693334,0.25761034892629336,False,0.026434595091750147
250,1.9448789653438434,0.08626450850172931,0.25828905469523633,False,0.026373072353276038
